UNITID,ADM_RATE,TUITIONFEE_IN,MD_EARN_WNE_P10
156541,0.7087,23000,35100
156620,0.8633,8868,36100
156745,0.6612,35650,43000
157058,0.49,7754,28700
157076,0.5722,24050,36700
157085,0.9079,11484,45100
157100,0.388,18560,34600
157270,1,20680,34600
157289,0.7257,11264,41800
157377,0.6032,23350,34500
157386,0.8556,8496,33100
157401,0.8535,8400,37100
157447,0.9109,9384,37500
157535,1,19600,31100
157757,0.503,24388,45100
157809,0.8909,29450,49400
157818,0.9482,35830,44100
157863,0.6749,25135,32100
157951,0.9402,9912,34700
158477,0.6422,35430,44900
158802,0.394,17064,35400
159009,0.4514,7371,28100
159382,0.3332,6668,33700
159391,0.7639,10814,50100
159416,0.8857,7146,35700
159568,0.7219,15978,42800
159647,0.6319,9117,41500
159656,0.6775,38754,47100
159717,0.637,7310,38200
159939,0.6005,8484,37800
159966,0.8266,7641,37500
159993,0.7613,8284,37500
160038,0.618,7620,34300
160065,0.3957,11632,39500
160074,0.539,12046,47200
160612,0.873,7773,37200
160621,0.9879,9332,34700
160630,0.1154,6421,28600
160658,0.511,9450,39900
160755,0.255,51010,61700
160904,0.6195,23046,49800
160959,0.6474,43542,24600
160977,0.2265,50310,59200
161004,0.1484,49900,65500
161022,0.4615,12310,49000
161086,0.1871,50960,58100
161226,0.8043,8695,36000
161235,0.815,7575,33400
161253,0.8975,10628,42500
161299,0.7551,13078,95600
161341,0.8672,7436,32400
161457,0.8306,35630,46300
161509,0.8639,32922,27700
161518,0.7808,33600,43400
161554,0.8025,7796,38700
161572,0.9284,27570,34100
161873,0.4942,8596,58000
162007,0.4126,7880,45800
162061,0.8833,24272,63900
162210,0.3337,23400,42600
162283,0.3961,7438,38100
162584,0.6272,8702,44600
162654,0.7923,43416,48900
162760,0.7053,36540,45300
162928,0.1284,50410,73200
163046,0.6553,46430,68100
163268,0.5683,11264,55000
163286,0.4806,10181,62900
163295,0.5709,45400,37300
163338,0.3839,7804,36600
163453,0.603,7636,40500
163462,0.6153,39000,52600
163578,0.5872,35019,51800
163851,0.6593,9364,50500
163912,0.7997,14192,52200
163976,0.5327,50353,36900
164076,0.7374,9408,50800
164173,0.6076,33168,49600
164216,0.4903,43842,51400
164270,0.7807,40580,49700
164447,0.6931,33140,46000
164465,0.1369,52476,65000
164492,0.8271,36110,44800
164562,0.7774,36260,55200
164580,0.2459,48288,96100
164614,0.9286,12600,33600
164632,0.5992,32739,42700
164641,0.3859,22320,32100
164720,0.6534,37272,43800
164739,0.4632,45760,86900
164748,0.3384,41398,30300
164924,0.3114,51296,72500
164988,0.2943,50240,65300
165015,0.3344,51245,57900
165024,0.8096,9603,45300
165264,0.2674,35298,57200
165334,0.5473,43150,49100
165529,0.8859,37835,45900
165574,0.8893,36660,33500
165644,0.6622,30815,42300
165662,0.4806,42908,46600
165671,0.714,37540,49700
165699,0.7875,31312,51100
165802,0.6849,29640,34900
165820,0.7465,10135,45700
165866,0.6481,9340,45800
165936,0.9197,36060,41700
166018,0.6363,50238,34500
166027,0.054,47074,89700
166124,0.3846,48940,71000
166391,0.7606,33600,43000
166452,0.6373,25875,38700
166513,0.6057,14307,53300
166629,0.5968,14971,51400
166638,0.6852,13435,48200
166656,0.8448,31560,116000
166674,0.7087,12200,36200
166683,0.0794,48452,104700
166692,0.8048,8004,86600
166850,0.8191,38825,57100
166939,0.5219,45866,48600
166948,0.6834,33820,40400
167057,0.3543,44755,32100
167224,0.9844,24200,29900
167251,0.8267,33510,39700
167260,0.8369,33400,48300
167288,0.771,9875,35800
167358,0.2888,47653,67400
167394,0.7646,33412,46200
167455,0.7442,28780,36600
167598,0.9695,39040,47500
167729,0.7358,9736,43500
167783,0.6362,38590,55800
167792,0.868,52870,32500
167835,0.3723,47904,46200
167899,0.659,35475,45100
167987,0.7602,13188,48200
167996,0.7292,39900,60800
168005,0.8442,35578,53100
168148,0.1429,52430,75800
168218,0.2859,48802,60800
168227,0.7058,33724,65100
168254,0.7961,34874,54900
168263,0.7792,9275,46100
168281,0.6666,49012,47600
168290,0.8391,34825,37900
168342,0.1761,51790,59000
168421,0.4844,46994,84900
168430,0.7056,9202,48200
168528,0.5841,34890,38600
168546,0.7226,41040,47400
168591,0.6795,37310,42200
168740,0.4042,27684,45200
168786,0.9132,30062,37300
169080,0.7471,31730,44800
169248,0.7156,12150,41900
169327,0.4683,17600,53600
169442,0.4737,40840,44100
169479,0.7836,16726,30700
169655,0.9636,16205,41900
169716,0.784,39882,47100
169798,0.7288,11209,39300
169910,0.7769,11290,44500
169983,0.7183,39790,80500
170000,0.8051,12644,28600
170037,0.6345,26860,35400
170082,0.8168,11520,42800
170301,0.8441,31560,46200
170532,0.6566,44857,48700
170639,0.6897,11019,37700
170675,0.6933,31140,55300
170806,0.7533,19500,40900
170842,0.4142,22064,28700
170967,0.5709,21662,35300
170976,0.2859,14402,63400
171100,0.6574,14062,53600
171128,0.7644,14634,66400
171137,0.6471,12032,48600
171146,0.6519,10344,40600
171456,0.7587,9766,35500
171492,0.6694,25130,48900
171571,0.8635,12064,43100
171599,0.5335,25560,38400
171881,0.7338,20342,28600
172051,0.7587,9345,39300
172264,0.7172,24856,42000
172334,0.7147,26730,41000
172440,0.4612,22758,32400
172644,0.8146,12269,40800
172699,0.8231,11493,45000
173045,0.4514,36415,46800
173124,0.6408,8394,40600
173142,0.8049,25890,34800
173160,0.8237,35160,47300
173258,0.2262,50874,54200
173300,0.6502,36878,44500
173328,0.5726,21250,49200
173452,0.8328,13980,37300
173647,0.648,42840,51700
173665,0.703,39181,49200
173902,0.371,50639,47600
173920,0.6249,7858,44900
174020,1,7566,48200
174066,0.4441,14142,51900
174075,0.6817,11700,44800
174127,0.6525,36548,35400
174154,1,13390,37800
174233,0.7655,13139,47200
174251,0.5806,12846,40700
174358,0.5961,8114,40600
174437,0.6608,22240,34600
174491,0.8692,29460,38500
174525,0.1636,16980,28800
174747,0.8774,42271,52600
174783,0.8509,7910,44200
174792,0.8778,41732,60600
174817,0.7924,32575,47800
174844,0.4476,44180,50400
174862,0.5413,24700,35100
174899,0.6371,35326,51400
174914,0.8266,39594,56800
175005,0.9083,36820,49200
175078,0.5419,8347,37600
175227,0.674,20428,52800
175272,0.5975,9075,44700
175342,0.7844,6546,31100
175421,0.4256,23016,37300
175430,0.9686,11212,31400
175616,0.8941,6418,33700
175856,0.6332,7261,30000
175980,0.5915,37110,48100
176017,0.783,7744,42700
176035,0.988,6065,34100
176044,0.8445,6116,23200
176053,0.4947,16740,38300
176080,0.5567,7780,40200
176318,0.4686,9500,24100
176372,0.6014,7659,36400
176406,0.518,10600,27500
176479,0.5103,11700,34700
176628,0.563,27312,44100
176770,0.5926,11170,42100
176789,0.9773,11700,36800
176910,0.276,13700,29700
176947,0.6103,23010,35400
176965,0.7462,7322,38000
177117,0.6872,19300,33500
177144,0.5812,25415,36600
177214,0.6997,25905,32200
177339,0.7536,22081,35800
177418,0.8952,24610,40800
177542,0.6164,21810,34300
177579,0.7568,13930,33600
177746,0.6504,36450,31200
177968,0.5469,16332,41300
178059,0.928,27958,47200
178244,0.512,24924,35600
178341,0.9434,5523,33300
178369,0.4649,19750,34000
178396,0.747,9518,48300
178402,0.6187,7846,45700
178411,0.7933,9057,71200
178420,0.7062,9394,42900
178615,0.6769,7456,44500
178624,0.7406,7343,40000
178679,1,12140,30500
178697,0.1422,18930,32500
178721,0.6859,12130,45900
178767,0.3333,14310,24800
179043,0.7406,35670,50800
179159,0.6474,40726,56500
179256,0.2941,11240,27300
179326,0.8967,22508,33700
179548,0.6104,29754,33900
179557,0.8281,6990,37000
179566,0.8438,7060,39300
179867,0.1653,49770,70100
179894,0.4658,26300,42300
179946,0.6518,24540,42700
179955,0.5108,32930,45700
179964,0.7017,23040,36500
180106,0.7148,33192,45900
180258,0.5674,23534,32500
180416,0.8893,6561,41700
180461,0.8287,6887,43200
180489,0.9243,6238,35500
180522,1,5371,37100
180595,0.6207,26666,38800
180832,0.5213,15780,49300
180878,0.87,14636,51300
180984,0.7328,28480,40100
181002,0.7066,37606,59700
181020,0.7586,30434,44300
181093,0.5676,21928,31400
181127,0.6394,28250,44400
181215,0.8508,6844,41300
181297,0.3542,13802,48700
181330,0.6106,30430,39900
181376,1,16200,29200
181394,0.8648,7204,44200
181446,0.7438,31394,46000
181464,0.7527,8537,46400
181604,0.6037,29954,41200
181738,0.635,22538,40800
181853,0.5043,17700,35400
182281,0.8278,7183,45000
182290,0.8281,7142,47000
182458,0.5147,31150,42100
182634,0.8703,39450,43600
182670,0.1059,51438,75500
182795,0.8139,34050,39700
182980,0.9901,35952,37900
183026,0.9287,31136,45400
183044,0.7586,17624,51400
183062,0.8253,13613,42400
183071,0.6983,14495,51400
183080,0.7877,13472,41700
183211,0.7059,30000,45400
183239,0.759,39036,58300
183488,0.515,15428,28500
183822,0.6158,28600,38200
183910,0.8541,32650,44400
183974,0.8788,32098,45800
184348,0.5716,48052,52700
184603,0.7683,37988,48100
184612,0.7855,32990,47300
184694,0.7909,40234,48100
184773,0.7446,31618,44400
184782,0.7101,13108,50000
184959,0.5579,17272,40500
184968,0.6,22274,64600
185129,0.8505,11430,42700
185262,0.744,11870,46100
185572,0.7729,35364,50500
185590,0.6613,12116,49600
185679,0.6,17879,67900
185721,0.4295,15221,31100
185828,0.593,16430,68500
186131,0.0652,45320,74700
186186,0.9583,11100,25600
186201,0.5326,13870,53200
186283,0.7151,39820,50600
186371,0.5749,14238,57900
186380,0.5694,14372,57900
186399,0.6531,13829,57900
186432,0.7425,35192,45800
186584,0.669,39258,57200
186618,0.6626,32282,43400
186867,0.3911,48838,89200
186876,0.7694,13077,47500
187134,0.4886,15794,58500
187444,0.7564,12574,46600
187648,0.5731,5618,29500
187745,1,4700,15400
187912,0.3613,5141,39700
187967,0.2345,6891,50000
187985,0.5778,7340,36400
188030,0.5961,6094,34600
188146,0.9837,32346,37700
188182,0.6578,15456,36200
188429,0.7029,35740,58500
188526,0.6917,31981,124700
188641,0.6279,27078,41400
188678,0.8159,33190,32700
188854,0.219,35900,28000
189088,0.5621,51384,39700
189097,0.1674,50394,57900
189282,0.6,27765,90200
189705,0.7786,35424,47300
189848,0.8988,32674,37100
189857,0.9375,6700,23500
190044,0.6821,46132,72000
190099,0.2878,51955,63600
190114,0.3929,18730,36600
190150,0.0683,55056,83300
190248,0.7105,30530,48000
190415,0.1409,50953,77200
190451,0.5,11755,54600
190503,0.9426,30730,43200
190512,0.3067,6810,57200
190549,0.3749,6838,43900
190558,0.9916,6890,41500
190567,0.4539,6689,46300
190594,0.3788,6782,47200
190600,0.3376,6810,44900
190637,0.3248,6812,43100
190646,0.9841,6756,35900
190655,0.7452,6669,40600
190664,0.4134,6938,48200
190691,0.4101,6748,40800
190716,0.8057,25210,46400
190725,0.5259,26940,42800
190761,0.7544,27438,46300
190956,0.4286,10345,43700
190983,0.8216,41900,45900
191126,0.4041,5335,48900
191205,0.6132,19380,34400
191241,0.4522,49073,59200
191515,0.2608,51240,60200
191533,0.8654,42860,45800
191621,0.8113,21300,42600
191630,0.5799,51559,53500
191649,0.6222,42160,53100
191676,0.7933,30336,37400
191931,0.9146,36584,56100
191968,0.6992,41776,52300
192004,0.8133,12600,26100
192110,0.0617,41310,32800
192192,0.77,29451,43800
192271,0.9346,25725,46000
192323,0.6531,33030,49600
192439,0.875,36256,49000
192448,0.8148,36256,49000
192509,0.6306,14475,19500
192703,0.7137,40004,65000
192712,0.4627,44600,32300
192749,0.774,36920,45600
192785,0.4435,14210,40400
192819,0.4099,35210,56900
192864,0.7816,30290,41400
192925,0.6923,27276,39400
192961,1,12674,54800
193016,0.7768,18392,39700
193292,0.7692,29100,60500
193308,0.531,14460,30300
193353,0.8989,29048,51600
193399,0.9265,35130,54400
193584,0.721,32649,44300
193645,0.4373,34960,33900
193654,0.6009,45440,44500
193900,0.3187,49062,61900
193973,0.8288,30950,42800
194091,0.7255,35160,55100
194116,0.3478,22710,52200
194161,0.9978,24850,41300
194310,0.8368,42772,60300
194392,0.8208,27103,35300
194499,0.297,12450,23500
194569,0.525,16400,31900
194578,0.5765,48154,43400
194824,0.4435,50797,82000
194958,0.6472,29540,40900
195003,0.5493,38568,62400
195030,0.3553,50142,61200
195128,0.5763,28805,44800
195164,0.659,32331,47700
195173,0.6414,25300,45700
195191,0.6,19360,60300
195216,0.4288,51200,50100
195234,0.8353,30692,43800
195243,0.7916,29600,46900
195289,0.75,13331,50800
195304,0.5179,52550,43000
195474,0.7261,34611,57100
195526,0.2908,50834,49700
195544,0.6678,25114,50400
195702,0.3333,15570,59100
195720,0.6454,31880,47800
195809,0.6336,39460,55200
196006,0.7199,8075,41800
196015,0.8257,7881,35700
196024,0.5135,7875,37200
196033,0.7818,7929,35000
196042,0.5802,7860,51700
196051,0.7735,8023,35200
196060,0.5439,9223,51500
196079,0.4062,9271,61600
196088,0.5938,9574,52600
196097,0.4067,8999,57600
196103,0.5421,8103,45600
196112,0.6431,7777,51000
196121,0.5533,7928,42600
196130,0.6407,7701,39800
196149,0.5217,8106,47000
196158,0.6235,8089,41700
196167,0.6685,8176,48800
196176,0.4294,7754,45000
196185,0.5284,7932,43400
196194,0.5452,7961,43900
196200,0.7178,7964,39700
196219,0.4351,8298,35200
196237,0.686,7683,44300
196246,0.5103,7866,42400
196291,0.5804,7834,82800
196413,0.5232,45022,62100
196431,0.8298,9300,19900
196592,0.619,16880,30400
196653,0.5412,16770,37900
196866,0.369,51696,65400
197027,0.203,1167,88100
197045,0.8195,19996,45300
197133,0.2688,53090,54600
197142,0.8462,21080,28000
197151,0.7445,36500,41800
197197,0.7294,43980,56700
197230,0.9243,38530,35100
197285,0.9393,21015,37400
197708,0.5075,40670,58500
197735,0.9147,9300,14400
197869,0.6832,7136,38800
197911,0.4088,29052,38100
197984,0.9733,18500,38200
197993,0.9578,18513,30600
198066,0.4216,27790,31600
198109,1,12268,48600
198136,0.81,30050,45900
198215,0.4707,29333,39400
198303,0.5697,23930,34300
198385,0.2011,48376,58900
198419,0.1083,51265,84400
198464,0.7034,6997,40500
198507,0.5715,4889,30400
198516,0.6044,33104,51900
198543,0.5927,5085,31200
198561,0.5188,29810,38700
198598,0.3625,28000,36900
198613,0.6052,34090,36400
198695,0.7908,33405,39000
198747,0.3939,11230,33900
198756,0.453,18236,28400
198808,0.6303,25648,33200
198835,0.7011,33730,38500
198862,0.4778,17764,23400
198871,0.7482,18007,26900
198899,0.5674,30534,31500
198950,0.6079,34907,39500
198969,0.5479,31980,39300
199032,0.6137,24940,37000
199069,0.4766,19000,39500
199102,0.5364,6372,34700
199111,0.7593,6977,34500
199120,0.2694,8834,55600
199139,0.6203,6763,44000
199148,0.7393,6971,37500
199157,0.6669,6132,32900
199184,0.5442,9139,35500
199193,0.4751,8880,52500
199209,0.6157,29150,38600
199218,0.7175,6951,41600
199272,0.6284,27080,36000
199281,0.7356,5816,34400
199306,0.4414,28995,39200
199412,0.8275,32560,42200
199458,0.4606,13600,30800
199582,0.7271,17890,27300
199607,0.5684,27406,36300
199643,0.4887,16580,29200
199698,0.5622,25874,37200
199847,0.3034,49308,63800
